75 134217728 bytes (134 MB, 128 MiB) copied, 3.57658 s, 37.5 MB/s
76 134217728 bytes (134 MB, 128 MiB) copied, 3.53601 s, 38.0 MB/s
77 134217728 bytes (134 MB, 128 MiB) copied, 3.55493 s, 37.8 MB/s
78 134217728 bytes (134 MB, 128 MiB) copied, 3.61529 s, 37.1 MB/s
79 134217728 bytes (134 MB, 128 MiB) copied, 3.60506 s, 37.2 MB/s
80 134217728 bytes (134 MB, 128 MiB) copied, 3.56887 s, 37.6 MB/s
81 134217728 bytes (134 MB, 128 MiB) copied, 3.56763 s, 37.6 MB/s
82 134217728 bytes (134 MB, 128 MiB) copied, 3.52923 s, 38.0 MB/s
83 134217728 bytes (134 MB, 128 MiB) copied, 3.54249 s, 37.9 MB/s
84 134217728 bytes (134 MB, 128 MiB) copied, 3.51812 s, 38.2 MB/s
85 134217728 bytes (134 MB, 128 MiB) copied, 3.54553 s, 37.9 MB/s
86 134217728 bytes (134 MB, 128 MiB) copied, 3.54184 s, 37.9 MB/s
87 134217728 bytes (134 MB, 128 MiB) copied, 3.53471 s, 38.0 MB/s
88 134217728 bytes (134 MB, 128 MiB) copied, 3.57278 s, 37.6 MB/s
89 134217728 bytes (134 MB, 128 MiB) copied, 3.53097 s, 38.0 MB/s
90 134217728 bytes (134 MB, 128 MiB) copied, 3.53229 s, 38.0 MB/s
91 134217728 bytes (134 MB, 128 MiB) copied, 3.57562 s, 37.5 MB/s
92 134217728 bytes (134 MB, 128 MiB) copied, 3.55174 s, 37.8 MB/s
93 134217728 bytes (134 MB, 128 MiB) copied, 3.55418 s, 37.8 MB/s
94 134217728 bytes (134 MB, 128 MiB) copied, 3.59253 s, 37.4 MB/s
95 134217728 bytes (134 MB, 128 MiB) copied, 3.56484 s, 37.7 MB/s
96 134217728 bytes (134 MB, 128 MiB) copied, 3.58064 s, 37.5 MB/s
97 134217728 bytes (134 MB, 128 MiB) copied, 3.58468 s, 37.4 MB/s
98 134217728 bytes (134 MB, 128 MiB) copied, 3.56399 s, 37.7 MB/s
99 134217728 bytes (134 MB, 128 MiB) copied, 3.5702 s, 37.6 MB/s
100 134217728 bytes (134 MB, 128 MiB) copied, 3.60038 s, 37.3 MB/s
