75 134217728 bytes (134 MB, 128 MiB) copied, 8.90165 s, 15.1 MB/s
76 134217728 bytes (134 MB, 128 MiB) copied, 8.94005 s, 15.0 MB/s
77 134217728 bytes (134 MB, 128 MiB) copied, 9.32518 s, 14.4 MB/s
78 134217728 bytes (134 MB, 128 MiB) copied, 8.71351 s, 15.4 MB/s
79 134217728 bytes (134 MB, 128 MiB) copied, 9.14486 s, 14.7 MB/s
80 134217728 bytes (134 MB, 128 MiB) copied, 9.16728 s, 14.6 MB/s
81 134217728 bytes (134 MB, 128 MiB) copied, 8.72648 s, 15.4 MB/s
82 134217728 bytes (134 MB, 128 MiB) copied, 8.81186 s, 15.2 MB/s
83 134217728 bytes (134 MB, 128 MiB) copied, 9.24325 s, 14.5 MB/s
84 134217728 bytes (134 MB, 128 MiB) copied, 8.67787 s, 15.5 MB/s
85 134217728 bytes (134 MB, 128 MiB) copied, 8.79632 s, 15.3 MB/s
86 134217728 bytes (134 MB, 128 MiB) copied, 9.41882 s, 14.2 MB/s
87 134217728 bytes (134 MB, 128 MiB) copied, 8.76534 s, 15.3 MB/s
88 134217728 bytes (134 MB, 128 MiB) copied, 8.89735 s, 15.1 MB/s
89 134217728 bytes (134 MB, 128 MiB) copied, 9.31002 s, 14.4 MB/s
90 134217728 bytes (134 MB, 128 MiB) copied, 8.7139 s, 15.4 MB/s
91 134217728 bytes (134 MB, 128 MiB) copied, 9.15701 s, 14.7 MB/s
92 134217728 bytes (134 MB, 128 MiB) copied, 9.04269 s, 14.8 MB/s
93 134217728 bytes (134 MB, 128 MiB) copied, 8.92797 s, 15.0 MB/s
94 134217728 bytes (134 MB, 128 MiB) copied, 9.15902 s, 14.7 MB/s
95 134217728 bytes (134 MB, 128 MiB) copied, 9.10763 s, 14.7 MB/s
96 134217728 bytes (134 MB, 128 MiB) copied, 8.71234 s, 15.4 MB/s
97 134217728 bytes (134 MB, 128 MiB) copied, 9.14198 s, 14.7 MB/s
98 134217728 bytes (134 MB, 128 MiB) copied, 9.0138 s, 14.9 MB/s
99 134217728 bytes (134 MB, 128 MiB) copied, 8.77946 s, 15.3 MB/s
100 134217728 bytes (134 MB, 128 MiB) copied, 9.17506 s, 14.6 MB/s
