75 134217728 bytes (134 MB, 128 MiB) copied, 12.4553 s, 10.8 MB/s
76 134217728 bytes (134 MB, 128 MiB) copied, 12.0752 s, 11.1 MB/s
77 134217728 bytes (134 MB, 128 MiB) copied, 11.8316 s, 11.3 MB/s
78 134217728 bytes (134 MB, 128 MiB) copied, 11.7907 s, 11.4 MB/s
79 134217728 bytes (134 MB, 128 MiB) copied, 11.843 s, 11.3 MB/s
80 134217728 bytes (134 MB, 128 MiB) copied, 12.0698 s, 11.1 MB/s
81 134217728 bytes (134 MB, 128 MiB) copied, 12.526 s, 10.7 MB/s
82 134217728 bytes (134 MB, 128 MiB) copied, 12.6431 s, 10.6 MB/s
83 134217728 bytes (134 MB, 128 MiB) copied, 12.2688 s, 10.9 MB/s
84 134217728 bytes (134 MB, 128 MiB) copied, 11.9381 s, 11.2 MB/s
85 134217728 bytes (134 MB, 128 MiB) copied, 11.7659 s, 11.4 MB/s
86 134217728 bytes (134 MB, 128 MiB) copied, 12.9325 s, 10.4 MB/s
87 134217728 bytes (134 MB, 128 MiB) copied, 14.1515 s, 9.5 MB/s
88 134217728 bytes (134 MB, 128 MiB) copied, 12.2713 s, 10.9 MB/s
89 134217728 bytes (134 MB, 128 MiB) copied, 12.7325 s, 10.5 MB/s
90 134217728 bytes (134 MB, 128 MiB) copied, 12.9524 s, 10.4 MB/s
91 134217728 bytes (134 MB, 128 MiB) copied, 13.1313 s, 10.2 MB/s
92 134217728 bytes (134 MB, 128 MiB) copied, 12.912 s, 10.4 MB/s
93 134217728 bytes (134 MB, 128 MiB) copied, 12.8727 s, 10.4 MB/s
94 134217728 bytes (134 MB, 128 MiB) copied, 12.9363 s, 10.4 MB/s
95 134217728 bytes (134 MB, 128 MiB) copied, 13.1663 s, 10.2 MB/s
96 134217728 bytes (134 MB, 128 MiB) copied, 13.6275 s, 9.8 MB/s
97 134217728 bytes (134 MB, 128 MiB) copied, 13.7671 s, 9.7 MB/s
98 134217728 bytes (134 MB, 128 MiB) copied, 13.3135 s, 10.1 MB/s
99 134217728 bytes (134 MB, 128 MiB) copied, 13.0238 s, 10.3 MB/s
100 134217728 bytes (134 MB, 128 MiB) copied, 12.9246 s, 10.4 MB/s
