75 134217728 bytes (134 MB, 128 MiB) copied, 7.65184 s, 17.5 MB/s
76 134217728 bytes (134 MB, 128 MiB) copied, 7.65907 s, 17.5 MB/s
77 134217728 bytes (134 MB, 128 MiB) copied, 7.63567 s, 17.6 MB/s
78 134217728 bytes (134 MB, 128 MiB) copied, 7.64509 s, 17.6 MB/s
79 134217728 bytes (134 MB, 128 MiB) copied, 7.68492 s, 17.5 MB/s
80 134217728 bytes (134 MB, 128 MiB) copied, 7.69622 s, 17.4 MB/s
81 134217728 bytes (134 MB, 128 MiB) copied, 7.69506 s, 17.4 MB/s
82 134217728 bytes (134 MB, 128 MiB) copied, 7.67143 s, 17.5 MB/s
83 134217728 bytes (134 MB, 128 MiB) copied, 7.7207 s, 17.4 MB/s
84 134217728 bytes (134 MB, 128 MiB) copied, 7.69664 s, 17.4 MB/s
85 134217728 bytes (134 MB, 128 MiB) copied, 7.73059 s, 17.4 MB/s
86 134217728 bytes (134 MB, 128 MiB) copied, 7.76724 s, 17.3 MB/s
87 134217728 bytes (134 MB, 128 MiB) copied, 7.70346 s, 17.4 MB/s
88 134217728 bytes (134 MB, 128 MiB) copied, 7.72412 s, 17.4 MB/s
89 134217728 bytes (134 MB, 128 MiB) copied, 7.75588 s, 17.3 MB/s
90 134217728 bytes (134 MB, 128 MiB) copied, 7.73585 s, 17.4 MB/s
91 134217728 bytes (134 MB, 128 MiB) copied, 7.35911 s, 18.2 MB/s
92 134217728 bytes (134 MB, 128 MiB) copied, 7.11618 s, 18.9 MB/s
93 134217728 bytes (134 MB, 128 MiB) copied, 7.13747 s, 18.8 MB/s
94 134217728 bytes (134 MB, 128 MiB) copied, 7.12084 s, 18.8 MB/s
95 134217728 bytes (134 MB, 128 MiB) copied, 7.12241 s, 18.8 MB/s
96 134217728 bytes (134 MB, 128 MiB) copied, 7.11456 s, 18.9 MB/s
97 134217728 bytes (134 MB, 128 MiB) copied, 7.14998 s, 18.8 MB/s
98 134217728 bytes (134 MB, 128 MiB) copied, 7.1566 s, 18.8 MB/s
99 134217728 bytes (134 MB, 128 MiB) copied, 7.14505 s, 18.8 MB/s
100 134217728 bytes (134 MB, 128 MiB) copied, 7.15901 s, 18.7 MB/s
