75 134217728 bytes (134 MB, 128 MiB) copied, 3.49462 s, 38.4 MB/s
76 134217728 bytes (134 MB, 128 MiB) copied, 3.55799 s, 37.7 MB/s
77 134217728 bytes (134 MB, 128 MiB) copied, 3.50099 s, 38.3 MB/s
78 134217728 bytes (134 MB, 128 MiB) copied, 3.56686 s, 37.6 MB/s
79 134217728 bytes (134 MB, 128 MiB) copied, 3.50015 s, 38.3 MB/s
80 134217728 bytes (134 MB, 128 MiB) copied, 3.53717 s, 37.9 MB/s
81 134217728 bytes (134 MB, 128 MiB) copied, 3.49337 s, 38.4 MB/s
82 134217728 bytes (134 MB, 128 MiB) copied, 3.49377 s, 38.4 MB/s
83 134217728 bytes (134 MB, 128 MiB) copied, 3.49143 s, 38.4 MB/s
84 134217728 bytes (134 MB, 128 MiB) copied, 3.57057 s, 37.6 MB/s
85 134217728 bytes (134 MB, 128 MiB) copied, 3.51455 s, 38.2 MB/s
86 134217728 bytes (134 MB, 128 MiB) copied, 3.4951 s, 38.4 MB/s
87 134217728 bytes (134 MB, 128 MiB) copied, 3.55051 s, 37.8 MB/s
88 134217728 bytes (134 MB, 128 MiB) copied, 3.58412 s, 37.4 MB/s
89 134217728 bytes (134 MB, 128 MiB) copied, 3.58228 s, 37.5 MB/s
90 134217728 bytes (134 MB, 128 MiB) copied, 3.58301 s, 37.5 MB/s
91 134217728 bytes (134 MB, 128 MiB) copied, 3.59022 s, 37.4 MB/s
92 134217728 bytes (134 MB, 128 MiB) copied, 3.57921 s, 37.5 MB/s
93 134217728 bytes (134 MB, 128 MiB) copied, 3.57576 s, 37.5 MB/s
94 134217728 bytes (134 MB, 128 MiB) copied, 3.55634 s, 37.7 MB/s
95 134217728 bytes (134 MB, 128 MiB) copied, 3.58829 s, 37.4 MB/s
96 134217728 bytes (134 MB, 128 MiB) copied, 3.59218 s, 37.4 MB/s
97 134217728 bytes (134 MB, 128 MiB) copied, 3.60386 s, 37.2 MB/s
98 134217728 bytes (134 MB, 128 MiB) copied, 3.57005 s, 37.6 MB/s
99 134217728 bytes (134 MB, 128 MiB) copied, 3.58577 s, 37.4 MB/s
100 134217728 bytes (134 MB, 128 MiB) copied, 3.49705 s, 38.4 MB/s
