75 134217728 bytes (134 MB, 128 MiB) copied, 3.74064 s, 35.9 MB/s
76 134217728 bytes (134 MB, 128 MiB) copied, 3.783 s, 35.5 MB/s
77 134217728 bytes (134 MB, 128 MiB) copied, 3.8101 s, 35.2 MB/s
78 134217728 bytes (134 MB, 128 MiB) copied, 3.75873 s, 35.7 MB/s
79 134217728 bytes (134 MB, 128 MiB) copied, 3.81657 s, 35.2 MB/s
80 134217728 bytes (134 MB, 128 MiB) copied, 3.77779 s, 35.5 MB/s
81 134217728 bytes (134 MB, 128 MiB) copied, 3.75916 s, 35.7 MB/s
82 134217728 bytes (134 MB, 128 MiB) copied, 3.83821 s, 35.0 MB/s
83 134217728 bytes (134 MB, 128 MiB) copied, 3.8478 s, 34.9 MB/s
84 134217728 bytes (134 MB, 128 MiB) copied, 3.83012 s, 35.0 MB/s
85 134217728 bytes (134 MB, 128 MiB) copied, 3.87132 s, 34.7 MB/s
86 134217728 bytes (134 MB, 128 MiB) copied, 3.82723 s, 35.1 MB/s
87 134217728 bytes (134 MB, 128 MiB) copied, 3.8122 s, 35.2 MB/s
88 134217728 bytes (134 MB, 128 MiB) copied, 4.05964 s, 33.1 MB/s
89 134217728 bytes (134 MB, 128 MiB) copied, 3.80791 s, 35.2 MB/s
90 134217728 bytes (134 MB, 128 MiB) copied, 3.90072 s, 34.4 MB/s
91 134217728 bytes (134 MB, 128 MiB) copied, 4.05136 s, 33.1 MB/s
92 134217728 bytes (134 MB, 128 MiB) copied, 3.76661 s, 35.6 MB/s
93 134217728 bytes (134 MB, 128 MiB) copied, 3.82699 s, 35.1 MB/s
94 134217728 bytes (134 MB, 128 MiB) copied, 3.84094 s, 34.9 MB/s
95 134217728 bytes (134 MB, 128 MiB) copied, 3.82009 s, 35.1 MB/s
96 134217728 bytes (134 MB, 128 MiB) copied, 3.75708 s, 35.7 MB/s
97 134217728 bytes (134 MB, 128 MiB) copied, 3.74418 s, 35.8 MB/s
98 134217728 bytes (134 MB, 128 MiB) copied, 3.92988 s, 34.2 MB/s
99 134217728 bytes (134 MB, 128 MiB) copied, 3.8017 s, 35.3 MB/s
100 134217728 bytes (134 MB, 128 MiB) copied, 3.77483 s, 35.6 MB/s
